Group,Item,Status,Priority,Story ID,Dependencies,FR Coverage,Description
Epic 1: Project Foundation & Site Shell,Initialize Production Project from Mockup,Done (Review),Critical,1.1,None,"FR37, FR41, FR44","Evolve mockup into production React Router v7 SPA with createBrowserRouter, Vite 6, TypeScript strict mode, Architecture-defined directory structure"
Epic 1: Project Foundation & Site Shell,Shared Data Types & Common Content Data,Done (Review),Critical,1.2,1.1,"FR44, FR45","Define all shared TypeScript interfaces in types.ts and common site data in data/common.ts — 10+ interfaces, 9 data files"
Epic 1: Project Foundation & Site Shell,Nav Component,Ready for Dev,Critical,1.3,"1.1, 1.2","FR17, FR18, FR26, FR41, FR42","Persistent navigation with logo, nav links, phone CTA with tel: link, hamburger menu on mobile (<900px), skip nav link"
Epic 1: Project Foundation & Site Shell,Footer Component,Ready for Dev,Critical,1.4,"1.1, 1.2","FR27, FR33, FR41","Site footer with contact info, site links, privacy policy link, accreditation info, semantic HTML"
Epic 1: Project Foundation & Site Shell,TrustBadges & CtaBand Components,Ready for Dev,High,1.5,"1.1, 1.2","FR12, FR17, FR18, FR28","Joint Commission / LegitScript / NAATP badges + phone CTA band on every page"
Epic 1: Project Foundation & Site Shell,Breadcrumb & ErrorBoundary Components,Ready for Dev,High,1.6,"1.1, 1.2","FR35, FR39","Breadcrumb trail with BreadcrumbList JSON-LD on interior pages; graceful error fallback UI with phone CTA"
Epic 1: Project Foundation & Site Shell,PageLayout — Shared Page Shell,Ready for Dev,Critical,1.7,"1.3, 1.4, 1.5, 1.6","FR12, FR17, FR27, FR33, FR39","Single wrapper: Nav → Breadcrumb → ErrorBoundary → main content → TrustBadges → CtaBand → Footer"
Epic 1: Project Foundation & Site Shell,SEO Utilities & Route Configuration,Ready for Dev,High,1.8,"1.1, 1.2","FR35, FR36, FR37","JSON-LD generators (10 schema types), react-helmet-async meta helper, complete route manifest, vite-ssg pre-rendering"
Epic 1: Project Foundation & Site Shell,Build Scripts — Sitemap Validation & Robots,Ready for Dev,High,1.9,1.8,"FR38, FR45, FR47","sitemap.xml generation, robots.txt, content validation script, JSON-LD validation script"
Epic 1: Project Foundation & Site Shell,Testing & Linting Infrastructure,Ready for Dev,Medium,1.10,1.1,"NFR13","Vitest + React Testing Library, Playwright + axe-core, ESLint + jsx-a11y, Prettier"
Epic 1: Project Foundation & Site Shell,Deployment & CI Pipeline,Ready for Dev,High,1.11,"1.9, 1.10","NFR1-5, NFR7, NFR19-21","GitHub Actions CI (tsc → ESLint → Prettier → Vitest → Build → Playwright), Vercel deploy config"
Epic 1: Project Foundation & Site Shell,Privacy Policy & 404 Pages,Ready for Dev,Medium,1.12,"1.7, 1.8","FR33, FR36","Privacy policy page (HIPAA, cookies) + helpful 404 page with phone CTA, both in PageLayout"
Epic 1: Project Foundation & Site Shell,301 Redirect Map,Ready for Dev,High,1.13,1.11,SEO,"vercel.json 301 redirects for all old→new URL changes (~25 redirects), no chains, E2E verified"
Epic 1: Project Foundation & Site Shell,Image Optimization Pipeline & R2 Setup,Ready for Dev,Medium,1.14,1.1,"NFR4, NFR6","Cloudflare R2 bucket, WebP/AVIF conversion process, responsive srcset, fetchpriority/lazy loading"
